benchmark,method,seed,n_train,n_test,epsilon,objective,train_violation,test_violation,estimated_violation,gap,runtime_seconds,success,message,bandwidth,decision,distribution,individual_violation,joint_test_violation,risk_allocation,schema_version,solver_diagnostics,solver_iterations,tau,uncertainty_metadata
static_nonlinear,nominal,20260906,250,4000,0.1,0.02338961879864484,0.532,0.518,0.532,-0.41800000000000004,0.20738412499486003,True,Optimization terminated successfully,0.2953710276655865,"[0.7854763160312112, 0.580371670384474]",gaussian,,,,1.0,,6,,"{""distribution"": ""gaussian"", ""mean"": 0.0, ""seed"": 20260906, ""std"": 1.0}"
static_nonlinear,scenario,20260906,250,4000,0.1,0.6134346351436594,0.004,0.0015,0.004,0.0985,0.0016274579975288361,True,Optimization terminated successfully,0.2953710276655865,"[0.2411346351769402, 0.05184024664636318]",gaussian,,,,1.0,,8,,"{""distribution"": ""gaussian"", ""mean"": 0.0, ""seed"": 20260906, ""std"": 1.0}"
static_nonlinear,unbiased_kde,20260906,250,4000,0.1,0.1981428706554218,0.052,0.062,0.1000000000000425,0.038000000000000006,0.0022750839998479933,True,Optimization terminated successfully,0.2953710276655865,"[0.4484065023024311, 0.3414068232565307]",gaussian,,,,1.0,,8,,"{""distribution"": ""gaussian"", ""mean"": 0.0, ""seed"": 20260906, ""std"": 1.0}"
static_nonlinear,local_shifted_epanechnikov,20260906,250,4000,0.1,0.30714763509540216,0.032,0.01925,0.10000000000000198,0.08075,0.0023280829918803647,True,Optimization terminated successfully,0.2953710276655865,"[0.3539997025797538, 0.27859649027811906]",gaussian,,,,1.0,,9,,"{""distribution"": ""gaussian"", ""mean"": 0.0, ""seed"": 20260906, ""std"": 1.0}"
static_nonlinear,nominal,20260907,250,4000,0.1,0.02338962162072117,0.608,0.62225,0.608,-0.52225,0.0009608749969629571,True,Optimization terminated successfully,0.3764276383193261,"[0.7855441321814829, 0.5803446442860899]",bimodal,,,,1.0,,5,,"{""distribution"": ""bimodal"", ""means"": [-1.2, 1.2], ""seed"": 20260907, ""stds"": [0.35, 0.35], ""weights"": [0.5, 0.5]}"
static_nonlinear,scenario,20260907,250,4000,0.1,0.4118270826351511,0.004,0.001,0.004,0.099,0.0013576670025940984,True,Optimization terminated successfully,0.3764276383193261,"[0.2774379001912225, 0.23184264554285638]",bimodal,,,,1.0,,7,,"{""distribution"": ""bimodal"", ""means"": [-1.2, 1.2], ""seed"": 20260907, ""stds"": [0.35, 0.35], ""weights"": [0.5, 0.5]}"
static_nonlinear,unbiased_kde,20260907,250,4000,0.1,0.3199413910935989,0.012,0.015,0.10000000003891651,0.085,0.0020203339954605326,True,Optimization terminated successfully,0.3764276383193261,"[0.3555369189038706, 0.2567362532788376]",bimodal,,,,1.0,,8,,"{""distribution"": ""bimodal"", ""means"": [-1.2, 1.2], ""seed"": 20260907, ""stds"": [0.35, 0.35], ""weights"": [0.5, 0.5]}"
static_nonlinear,local_shifted_epanechnikov,20260907,250,4000,0.1,0.505869826757194,0.0,0.00025,0.10000000015148724,0.09975,0.002561459012213163,True,Optimization terminated successfully,0.3764276383193261,"[0.23641164234355436, 0.1684365964878606]",bimodal,,,,1.0,,9,,"{""distribution"": ""bimodal"", ""means"": [-1.2, 1.2], ""seed"": 20260907, ""stds"": [0.35, 0.35], ""weights"": [0.5, 0.5]}"
static_nonlinear,nominal,20260908,250,4000,0.1,0.023389618511575255,0.356,0.3965,0.356,-0.2965,0.0010470420093042776,True,Optimization terminated successfully,0.24195144627290915,"[0.7854908583437997, 0.580362739801179]",skewed,,,,1.0,,5,,"{""distribution"": ""skewed_exponential"", ""scale"": 1.0, ""seed"": 20260908}"
static_nonlinear,scenario,20260908,250,4000,0.1,0.9999999999999998,0.008,0.01425,0.008,0.08575,0.006926791000296362,False,Positive directional derivative for linesearch,0.24195144627290915,"[8.815080954407496e-17, 7.644483975840237e-17]",skewed,,,,1.0,,21,,"{""distribution"": ""skewed_exponential"", ""scale"": 1.0, ""seed"": 20260908}"
static_nonlinear,unbiased_kde,20260908,250,4000,0.1,0.15701112522017255,0.084,0.10525,0.10000000009964527,-0.005249999999999991,0.0017931249894900247,True,Optimization terminated successfully,0.24195144627290915,"[0.49426791682301713, 0.3665920206643538]",skewed,,,,1.0,,7,,"{""distribution"": ""skewed_exponential"", ""scale"": 1.0, ""seed"": 20260908}"
static_nonlinear,local_shifted_epanechnikov,20260908,250,4000,0.1,0.2506096951409451,0.052,0.07,0.10000000000621934,0.03,0.002077124998322688,True,Optimization terminated successfully,0.24195144627290915,"[0.41883220438487573, 0.28479081799152184]",skewed,,,,1.0,,8,,"{""distribution"": ""skewed_exponential"", ""scale"": 1.0, ""seed"": 20260908}"
static_nonlinear,nominal,20260909,250,4000,0.1,0.02338961914564075,0.508,0.5085,0.508,-0.4085,0.0011194590042578056,True,Optimization terminated successfully,0.27662547247955893,"[0.7854693820724681, 0.5803763026682706]",heavy_tailed,,,,1.0,,6,,"{""df"": 3.5, ""distribution"": ""student_t"", ""scale"": 0.8, ""seed"": 20260909}"
